LANDUSE,BLKLOT,NAMEADDR,Entitled,BESTSTAT,BESTDATE,UNITS,UNITSNET,AFFORDABLE,AFFORDABLENET,SECTION415,AFF_TARGET,TENURE_TYPE,CASENO,DESCRIPT,DBIDESC,TOTAL_GSF,NET_GSF,CIE_EXIST,CIE,CIENET,MED_EXIST,MED,MEDNET,MIPS_EXIST,MIPS,MIPSNET,PDR_EXIST,PDR,PDRNET,RET_EXIST,RET,RETNET,RESTAURANT,RESTAURANTNET,VISIT_EXIST,VISIT,VISITNET,HOTEL_ROOM_EXIST,HOTEL_ROOM_PROP,HOTEL_ROOM_NET,PLANNER,SPONSOR,CONTACT,CONTACTPH,DA,YEAR_,QTR,YEAR_QTR,PD,SD,NHOOD_37,NHOOD_41,PLANS,ZONING,HEIGHT_BULK,PDA,SUD,LATITUDE,LONGITUDE,Location,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
Resident,5862A027,11 UNIVERSITY ST,1,BP ISSUED,2019-08-20 11:29,2,1,,0,,,,,,LEGALIZE UNIT UNDER ORDINANCE 43-14.,0,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,,,,2020,Q1,2020_Q1,12 - South Central,9,Excelsior,Portola,,RH-1(D),40-X,,,37.73042498,-122.4154333,POINT (-122.4154333 37.73042498),91,91,2,2,25
Resident,6092013,823 RUSSIA AV,1,BP ISSUED,2019-12-23 9:19,2,1,,0,,,,,,"ADD KITCHEN AT GROUND FLOOR INSTALL COUNTER, SINK, CABINETS & INSTALL SHOWER STALL IN (E) BATHROOM,",0,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,,,,2020,Q1,2020_Q1,12 - South Central,11,Excelsior,Excelsior,,RH-2,40-X,,,37.7184911,-122.4303306,POINT (-122.4303306 37.7184911),90,90,9,1,7
Resident,2949A003A,119 ENCLINE CT,0,BP Filed,2019-05-14,2,1,,0,,,,,,"PER ADU ORDINANCE# 162-17, REMODEL PORTION OF (E) GARAGE / OFFICE INTO GARAGE / ACCESSORY DWELLING U",0,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,,,,2020,Q1,2020_Q1,13 - Ingleside,7,West of Twin Peaks,West of Twin Peaks,,RH-1,40-X,,,37.74158299,-122.4481353,POINT (-122.4481353 37.74158299),72,72,9,8,41
Retail/Ent,0595005,2000 VAN NESS AVE,0,PL Filed,2020-02-24,,0,,0,,,,2020-002615PRJ,"Conditional Use Authorization request for change of use from existing location currently dba ""Diamond Club Tattoo"" to new location.",,857,0,,,0,,,0,,,0,,,0,,857,0,,0,,,0,,,,NKWIATKO,Diamond Club Tattoo llc,,,,2020,Q1,2020_Q1,3 - Northeast,3,Nob Hill,Russian Hill,Van Ness Corridor,RC-4,80-D,Downtown/Van Ness/Northeast Neighborhoods,Van Ness,37.79417789,-122.4226756,POINT (-122.4226756 37.79417789),105,105,4,3,32
Resident,6613048,311 28TH ST,0,BP FILED,2016-09-06,1,1,,,,,,,,"ERECT TYPE V, 4 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.",0,0,,,,,,,,,,,,,,,,,0,,,,,,,GORDON-J,,,,,2020,Q1,2020_Q1,7 - Central,8,Noe Valley,Noe Valley,,RH-2,40-X,J Church and Mission Corridor,,37.7448868,-122.42966,POINT (-122.42966 37.7448868),84,84,9,5,22
Resident,1423028,266 11TH AV,1,CONSTRUCTION,2019-11-26,3,1,,0,,,,,,PROPOSED A NEW UNIT @ EXISTING 1/F.,0,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,,,,2020,Q1,2020_Q1,1 - Richmond,1,Inner Richmond,Inner Richmond,,RM-1,40-X,Richmond Corridors,,37.78334584,-122.4695004,POINT (-122.4695004 37.78334584),5,5,8,4,11
Mixres,3949001,901 16TH ST,1,PL APPROVED,2016-05-12,790,790,42,42,On-site BMR Project; Fee Payment,,Rental,2011.1300,"Revised Enviromental Evaluation Application 6/17/2014. The proposed project would demolish metal warehouses and temporary office buildings; preserve and rehabilitate brick office building; lot line adjustment to create two lots; and construct approximately 395 residential units and ground-floor commercial space in a 4-story building on 17th Street and a 6-story building on 16th Street. The proposed project would construct 388 parking sapces, divided between a two-level garage in the 16th Street building and a one-level garage in the 17th Street building, both with access from Mississippi Street.",,24468,-85032,0,,,0,,,0,0,-4500,0,0,-105000,0,24468,24468,,,0,,,,,,CTOWNES,Attn: Indrajit Obeysekere,Jay Murphy,415-833-1231,,2020,Q1,2020_Q1,9 - South of Market,10,Potrero Hill,Mission Bay,Showplace Square/Potrero Hill (EN); Showplace Square Open Space Plan,UMU,68-X,Eastern Neighborhoods,,37.76612965,-122.3954863,POINT (-122.3954863 37.76612965),54,54,1,9,4
Mixres,3999010,249 PENNSYLVANIA AV,1,BP ISSUED,2018-10-10 9:48,59,59,8,8,,,,2014.1279,Demolition of two (2) existing hardware warehouses and new construction of a 4-story building with 3 stories of residential units and ground floor with residential/commercial spaces.  Proposed parking on ground floor/basement level to provide 44.,"TO ERECT 4 STORIES, ONE BASEMENT, 59 DWELLING APARTMENT & RETAIL, standard car parking, no stackers
** MAHER: EXEMPTED - APPROVAL FROM DPH ATTACHED WITH PLAN. SEE A-07 **",3321,-15804,,,0,,,0,,,0,,3321,-15804,,,0,,0,,,0,,,,CTOWNES,SPENCER WILLIAM D & CLAIRE A 1,,,,2020,Q1,2020_Q1,9 - South of Market,10,Potrero Hill,Potrero Hill,Showplace Square/Potrero Hill (EN),UMU,40-X,Eastern Neighborhoods,,37.76392166,-122.3934088,POINT (-122.3934088 37.76392166),54,54,2,9,26
Resident,2335A003,2223 14TH AV,0,BP Filed,2018-09-25,2,1,,0,,,,,,ADD AN (N) ACCESSORY DWELLING UNIT IN GARAGE STORAGE AREA PER ORD# 95-17.,0,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,,,,2020,Q1,2020_Q1,14 - Inner Sunset,7,Parkside,West of Twin Peaks,,RH-1,40-X,Forest Hill/West Portal,,37.74652289,-122.47076,POINT (-122.47076 37.74652289),44,44,10,8,41
Resident,6258011B,1550 VISITACION AV,1,BP ISSUED,2020-01-06 11:47,2,1,,0,,,,,,"PER UNIT LEGALIZATION ORDINANCE# 43-14, LEGALIZATION OF (E) UNIT ON GROUND FLOOR. ABATEMENT OF NOV#",0,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,,,,,,,,2020,Q1,2020_Q1,12 - South Central,10,Visitacion Valley,Visitacion Valley,,RH-1,40-X,,,37.71337607,-122.4141615,POINT (-122.4141615 37.71337607),75,75,9,9,40
